source_id,ra,dec,parallax,parallax_error,b,ruwe,bp_rp,phot_bp_rp_excess_factor,pf,epoch_g,int_average_g,int_average_g_error
6915411918001919360,315.1408712624337,-3.7598024959498537,0.5411933356347467,0.016977293,-30.278291274319912,1.0511624,0.67443466,1.1945707,0.5813650996362761,1788.127160685199,12.364101,0.0075860084
34113623857898880,44.59148892789382,15.671683364070349,0.6892261531012438,0.019725202,-37.27480649826877,0.87454295,0.8608656,1.2265284,0.6424108488440919,1706.0241764950367,11.630653,0.0063101742
3912789462346376576,174.93036573632244,9.135835624600308,0.342417400636939,0.020817392,65.28875672116675,1.3386406,0.6350393,1.1996192,0.6329303202731283,1668.8977051569786,13.098277,0.020126766
3915944064285661312,174.80926143283443,10.327207251564337,0.40875002006098654,0.022513429,66.09566661942551,1.2861903,0.59654045,1.2133824,0.598654380088979,1668.4990744756064,12.239357,0.022120904
3915998558830693888,174.63612343971593,10.561430891938802,0.6429983882978711,0.030380538,66.1498930072581,1.5454228,0.62718296,1.2199618,0.4779803804691224,1668.997108353144,11.420898,0.030267524
3917248286939430144,173.26558609698114,12.153726918732636,0.40496743598952795,0.01438701,66.29956973507552,1.0658475,0.6542988,1.2115791,0.7268274451005157,1666.3570099884134,12.133602,0.004551179
3924834680948056576,176.63574395678137,16.2311621956068,0.42187538348350523,0.019993667,71.43082224795765,1.0692399,0.63156223,1.2056246,0.7388989207841145,1667.8459305149895,12.060472,0.001703582
3928818142855926656,189.60954005297884,13.01596757357182,0.3400431933111538,0.020733977,75.56365293370446,1.3548924,0.61769485,1.1778014,0.5743588270953515,1681.7361136719983,13.137012,0.018267909
5053120665462939648,50.53751743988298,-34.95782135697448,0.2814153513026682,0.011987863,-56.98886634319528,1.0503876,0.6324291,1.1912972,0.6199453050407894,1717.2778826524043,13.427168,0.0008852848
5053554732037915008,49.94963218490398,-33.51730334014829,0.30286870853813347,0.014202174,-57.530076824119476,1.4790307,0.62199306,1.1750845,0.6343784589110035,1716.4716154092262,13.18396,0.0049367063
5058670209887423616,46.39420496341686,-31.26874862797888,0.33722294871945585,0.021700857,-60.54831856870778,1.229036,0.5596962,1.1603768,0.49645378231120424,1715.8425313317694,13.157481,0.004972345
5058695773532103424,46.36526220475362,-30.97752140868423,0.3177994856752528,0.013745958,-60.56904136108472,1.0462148,0.53087234,1.1672953,0.5882404992235217,1715.6750822891636,12.797001,4.1527688e-05
5059364001725327232,47.82927732542102,-28.893739959188558,0.3772181837402414,0.019416632,-59.18704269989191,1.2120638,0.58667374,1.1939281,0.5535722081618433,1715.0144906146325,13.067202,0.0063265786
